genre,subgenre
Alternative,Art Punk
Alternative,Alternative Rock
Alternative,Britpunk
Alternative,College Rock
Alternative,Crossover Thrash 
Alternative,Crust Punk 
Alternative,Experimental Rock
Alternative,Folk Punk
Alternative,Goth / Gothic Rock
Alternative,Grunge
Alternative,Hardcore Punk
Alternative,Hard Rock
Alternative,Indie Rock
Alternative,Lo-fi 
Alternative,Musique Concrète
Alternative,New Wave
Alternative,Progressive Rock
Alternative,Punk
Alternative,Shoegaze 
Alternative,Steampunk 
Alternative,Emotional Hardcore  – 
Blues,Acoustic Blues
Blues,African Blues
Blues,Blues Rock
Blues,Blues Shouter
Blues,British Blues
Blues,Canadian Blues
Blues,Chicago Blues
Blues,Classic Blues
Blues,Classic Female Blues
Blues,Contemporary Blues
Blues,Contemporary R&B
Blues,Country Blues
Blues,Delta Blues
Blues,Detroit Blues
Blues,Electric Blues
Blues,Folk Blues
Blues,Gospel Blues
Blues,Harmonica Blues
Blues,Hill Country Blues
Blues,Hokum Blues
Blues,Jazz Blues
Blues,Jump Blues
Blues,Kansas City Blues
Blues,Louisiana Blues
Blues,Memphis Blues
Blues,Modern Blues
Blues,New Orlean Blues
Blues,NY Blues
Blues,Piano Blues
Blues,Piedmont Blues
Blues,Punk Blues
Blues,Ragtime Blues 
Blues,Rhythm Blues
Blues,Soul Blues
Blues,St. Louis Blues
Blues,Soul Blues
Blues,Swamp Blues
Blues,Texas Blues
Blues,Urban Blues
Blues,Vandeville
Blues,West Coast Blues
Blues,Zydeco 
Children’s Music,Lullabies
Children’s Music,Sing-Along
Children’s Music,Stories
Classical,Avant-Garde
Classical,Ballet
Classical,Baroque
Classical,Cantata
Classical,String Quartet
Classical,Chant
Classical,Choral
Classical,Classical Crossover
Classical,Concerto
Classical,Concerto Grosso
Classical,Early Music
Classical,Expressionist 
Classical,High Classical
Classical,Impressionist
Classical,Mass Requiem
Classical,Medieval
Classical,Minimalism
Classical,Modern Composition
Classical,Modern Classical
Classical,Opera
Classical,Oratorio
Classical,Orchestral
Classical,Organum
Classical,Renaissance
Classical,Romantic 
Classical,Romantic 
Classical,Sonata
Classical,Symphonic
Classical,Symphony
Classical,Wedding Music
Classical,Chamber Music
Classical,String Quartet
Classical,Contemporary Classical 
Comedy,Novelty
Comedy,Parody Music 
Comedy,Stand-up Comedy
Comedy,Vaudeville 
Contemporary Classical,Avant-Garde
Contemporary Classical,Ballet
Contemporary Classical,Baroque
Contemporary Classical,Cantata
Contemporary Classical,String Quartet
Contemporary Classical,Chant
Contemporary Classical,Choral
Contemporary Classical,Classical Crossover
Contemporary Classical,Concerto
Contemporary Classical,Concerto Grosso
Contemporary Classical,Early Music
Contemporary Classical,Expressionist 
Contemporary Classical,High Classical
Contemporary Classical,Impressionist
Contemporary Classical,Mass Requiem
Contemporary Classical,Medieval
Contemporary Classical,Minimalism
Contemporary Classical,Modern Composition
Contemporary Classical,Modern Classical
Contemporary Classical,Opera
Contemporary Classical,Oratorio
Contemporary Classical,Orchestral
Contemporary Classical,Organum
Contemporary Classical,Renaissance
Contemporary Classical,Romantic 
Contemporary Classical,Romantic 
Contemporary Classical,Sonata
Contemporary Classical,Symphonic
Contemporary Classical,Symphony
Contemporary Classical,Wedding Music
Contemporary Classical,Chamber Music
Contemporary Classical,String Quartet
Contemporary Classical,Contemporary Classical 
Country,Alternative Country
Country,Americana
Country,Australian Country
Country,Bakersfield Sound
Country,Blues Country
Country,Cajun Fiddle Tunes
Country,Christian Country
Country,Classic Country
Country,Close Harmony
Country,Contemporary Country
Country,Country Gospel
Country,Country Pop 
Country,Country Rap
Country,Country Rock
Country,Country Soul
Country,Cowboy / Western
Country,Cowpunk
Country,Dansband
Country,Honky Tonk
Country,Franco-Country
Country,Gulf and Western
Country,Hellbilly Music
Country,Honky Tonk
Country,Instrumental Country
Country,Lubbock Sound
Country,Nashville Sound
Country,Outlaw Country
Country,Progressive
Country,Red Dirt
Country,Sertanejo
Country,Texas County
Country,Traditional Country
Country,Urban Cowboy
Country,Western Swing
Country,Zydeco
Country,Bluegrass
Country,Progressive Bluegrass
Country,Reactionary Bluegrass
Country,Progressive Bluegrass
Country,Reactionary Bluegrass
Country,Contemporary Bluegrass
Country,Neotraditional Country
Country,Psychobilly / Punkabilly
Country,Traditional Bluegrass
Country,Truck-Driving Country
Dance,Club / Club Dance 
Dance,Breakcore
Dance,4-Beat
Dance,Acid Breaks
Dance,Baltimore Club
Dance,Big Beat
Dance,Breakbeat Hardcore
Dance,Broken Beat
Dance,Florida Breaks
Dance,Nu Skool Breaks
Dance,Brostep 
Dance,Chillstep 
Dance,Deep House 
Dance,Dubstep
Dance,Electro House 
Dance,Electroswing
Dance,Exercise
Dance,Future Garage 
Dance,Garage
Dance,Glitch Hop 
Dance,Glitch Pop 
Dance,Grime 
Dance,Bouncy House
Dance,Bouncy Techno
Dance,Breakcore
Dance,Digital Hardcore
Dance,Doomcore
Dance,Dubstyle
Dance,Gabber
Dance,Happy Hardcore
Dance,Hardstyle
Dance,Jumpstyle
Dance,Makina
Dance,Speedcore
Dance,Terrorcore
Dance,Uk Hardcore
Dance,Hard Dance
Dance,Hi-NRG / Eurodance
Dance,Horrorcore 
Dance,Acid House
Dance,Chicago House
Dance,Deep House
Dance,Diva House
Dance,Dutch House
Dance,Electro House
Dance,Freestyle House
Dance,French House
Dance,Funky House
Dance,Ghetto House
Dance,Hardbag
Dance,Hip House
Dance,Italo House
Dance,Latin House
Dance,Minimal House
Dance,Progressive House
Dance,Rave Music
Dance,Swing House
Dance,UK Hard House
Dance,US Garage
Dance,Vocal House
Dance,Jackin House 
Dance,Jungle / Drum’n’bass
Dance,Liquid Dub
Dance,Regstep 
Dance,Speedcore 
Dance,Acid Techno
Dance,Detroit Techno
Dance,Free Tekno
Dance,Ghettotech
Dance,Minimal
Dance,Nortec
Dance,Schranz
Dance,Techno-Dnb
Dance,Technopop
Dance,Tecno Brega
Dance,Toytown Techno
Dance,Acid Trance
Dance,Classic Trance
Dance,Dream Trance
Dance,Dark Psytrance
Dance,Full on
Dance,Psybreaks
Dance,Psyprog
Dance,Suomisaundi
Dance,Hard Trance
Dance,Tech Trance
Dance,Orchestral Uplifting
Dance,Vocal Trance
Dance,Trap 
Dance,Breakbeat / Breakstep
Dance,4-Beat
Dance,Acid Breaks
Dance,Baltimore Club
Dance,Big Beat
Dance,Breakbeat Hardcore
Dance,Broken Beat
Dance,Florida Breaks
Dance,Nu Skool Breaks
Dance,Hardcore
Dance,Bouncy House
Dance,Bouncy Techno
Dance,Breakcore
Dance,Digital Hardcore
Dance,Doomcore
Dance,Dubstyle
Dance,Gabber
Dance,Happy Hardcore
Dance,Hardstyle
Dance,Jumpstyle
Dance,Makina
Dance,Speedcore
Dance,Terrorcore
Dance,Uk Hardcore
Dance,House
Dance,Acid House
Dance,Chicago House
Dance,Deep House
Dance,Diva House
Dance,Dutch House
Dance,Electro House
Dance,Freestyle House
Dance,French House
Dance,Funky House
Dance,Ghetto House
Dance,Hardbag
Dance,Hip House
Dance,Italo House
Dance,Latin House
Dance,Minimal House
Dance,Progressive House
Dance,Rave Music
Dance,Swing House
Dance,Tech HouseTribal House
Dance,UK Hard House
Dance,US Garage
Dance,Vocal House
Dance,Tech HouseTribal House
Dance,Techno
Dance,Acid Techno
Dance,Detroit Techno
Dance,Free Tekno
Dance,Ghettotech
Dance,Minimal
Dance,Nortec
Dance,Schranz
Dance,Techno-Dnb
Dance,Technopop
Dance,Tecno Brega
Dance,Toytown Techno
Dance,Trance
Dance,Acid Trance
Dance,Classic Trance
Dance,Dream Trance
Dance,Goa Trance
Dance,Dark Psytrance
Dance,Full on
Dance,Psybreaks
Dance,Psyprog
Dance,Suomisaundi
Dance,Hard Trance
Dance,Tech Trance
Dance,Uplifting Trance
Dance,Orchestral Uplifting
Dance,Vocal Trance
Dance,Goa Trance
Dance,Dark Psytrance
Dance,Full on
Dance,Psybreaks
Dance,Psyprog
Dance,Suomisaundi
Dance,Uplifting Trance
Dance,Orchestral Uplifting
Easy Listening,Background
Easy Listening,Bop
Easy Listening,Elevator
Easy Listening,Furniture
Easy Listening,Lounge
Easy Listening,Middle of the Road
Easy Listening,Swing
Electronic,2-Step 
Electronic,Ambient Dub
Electronic,Ambient House
Electronic,Ambient Techno
Electronic,Dark Ambient
Electronic,Drone Music
Electronic,Illbient
Electronic,Isolationism
Electronic,Lowercase
Electronic,Asian Underground
Electronic,Bassline 
Electronic,Chillwave
Electronic,Bitpop
Electronic,Game Boy
Electronic,Nintendocore
Electronic,Video Game Music
Electronic,Crunk 
Electronic,Acid Jazz
Electronic,Balearic Beat
Electronic,Chill Out
Electronic,Dub Music
Electronic,Dubtronica
Electronic,Ethnic Electronica
Electronic,Moombahton
Electronic,Nu Jazz
Electronic,Trip Hop
Electronic,Darkcore
Electronic,Darkstep
Electronic,Drumfunk
Electronic,Drumstep
Electronic,Hardstep
Electronic,Jump-Up
Electronic,Liquid Funk
Electronic,Neurofunk
Electronic,Darkside Jungle
Electronic,Ragga Jungle
Electronic,Raggacore
Electronic,Sambass
Electronic,Techstep
Electronic,Crunk
Electronic,Electro Backbeat
Electronic,Electro-Grime
Electronic,Electropop
Electronic,Electro-swing 
Electronic,Acousmatic Music
Electronic,Computer Music
Electronic,Field Recording
Electronic,Live Coding
Electronic,Live Electronics
Electronic,Tape Music
Electronic,Berlin School
Electronic,Chillwave
Electronic,Electronic Art Music
Electronic,Folktronica
Electronic,Freestyle Music
Electronic,Glitch
Electronic,Idm
Electronic,Laptronica
Electronic,Skweee
Electronic,Sound Art
Electronic,Synthcore
Electronic,Baggy
Electronic,Madchester
Electronic,Dance-Punk
Electronic,Dance-Rock
Electronic,Dark Wave
Electronic,Electroclash
Electronic,Electronicore
Electronic,Electropunk
Electronic,Ethereal Wave
Electronic,Indietronica
Electronic,New Rave
Electronic,Space Rock
Electronic,Synthpop
Electronic,Synthpunk
Electronic,Bubblegum Dance
Electronic,Italo Dance
Electronic,Turbofolk
Electronic,Hardstyle 
Electronic,Eurobeat
Electronic,Hard Nrg
Electronic,New Beat
Electronic,IDM/Experimental
Electronic,Industrial
Electronic,Trip Hop 
Electronic,2-Step
Electronic,4×4
Electronic,Bassline
Electronic,Grime
Electronic,Speed Garage
Electronic,"8bit – aka 8-bit, Bitpop and Chiptune – "
Electronic,Ambient
Electronic,Ambient Dub
Electronic,Ambient House
Electronic,Ambient Techno
Electronic,Dark Ambient
Electronic,Drone Music
Electronic,Illbient
Electronic,Isolationism
Electronic,Lowercase
Electronic,Chiptune 
Electronic,Bitpop
Electronic,Game Boy
Electronic,Nintendocore
Electronic,Video Game Music
Electronic,Yorkshire Bleeps and Bass
Electronic,Yorkshire Bleeps and Bass
Electronic,Downtempo
Electronic,Acid Jazz
Electronic,Balearic Beat
Electronic,Chill Out
Electronic,Dub Music
Electronic,Dubtronica
Electronic,Ethnic Electronica
Electronic,Moombahton
Electronic,Nu Jazz
Electronic,Trip Hop
Electronic,Drum & Bass 
Electronic,Darkcore
Electronic,Darkstep
Electronic,Drumfunk
Electronic,Drumstep
Electronic,Hardstep
Electronic,Intelligent Drum and Bass
Electronic,Jump-Up
Electronic,Liquid Funk
Electronic,Neurofunk
Electronic,Oldschool Jungle:
Electronic,Darkside Jungle
Electronic,Ragga Jungle
Electronic,Raggacore
Electronic,Sambass
Electronic,Techstep
Electronic,Intelligent Drum and Bass
Electronic,Oldschool Jungle:
Electronic,Darkside Jungle
Electronic,Ragga Jungle
Electronic,Electro
Electronic,Crunk
Electronic,Electro Backbeat
Electronic,Electro-Grime
Electronic,Electropop
Electronic,Electroacoustic
Electronic,Acousmatic Music
Electronic,Computer Music
Electronic,Electroacoustic Improvisation
Electronic,Field Recording
Electronic,Live Coding
Electronic,Live Electronics
Electronic,Soundscape Composition
Electronic,Tape Music
Electronic,Electroacoustic Improvisation
Electronic,Soundscape Composition
Electronic,Electronica
Electronic,Berlin School
Electronic,Chillwave
Electronic,Electronic Art Music
Electronic,Electronic Dance Music
Electronic,Folktronica
Electronic,Freestyle Music
Electronic,Glitch
Electronic,Idm
Electronic,Laptronica
Electronic,Skweee
Electronic,Sound Art
Electronic,Synthcore
Electronic,Electronic Dance Music
Electronic,Electronic Rock
Electronic,Alternative Dance
Electronic,Baggy
Electronic,Madchester
Electronic,Dance-Punk
Electronic,Dance-Rock
Electronic,Dark Wave
Electronic,Electroclash
Electronic,Electronicore
Electronic,Electropunk
Electronic,Ethereal Wave
Electronic,Indietronica
Electronic,New Rave
Electronic,Space Rock
Electronic,Synthpop
Electronic,Synthpunk
Electronic,Alternative Dance
Electronic,Baggy
Electronic,Madchester
Electronic,Eurodance
Electronic,Bubblegum Dance
Electronic,Italo Dance
Electronic,Turbofolk
Electronic,Hi-Nrg
Electronic,Eurobeat
Electronic,Hard Nrg
Electronic,New Beat
Electronic,UK Garage
Electronic,2-Step
Electronic,4×4
Electronic,Bassline
Electronic,Grime
Electronic,Speed Garage
Hip-Hop/Rap,Alternative Rap
Hip-Hop/Rap,Avant-Garde
Hip-Hop/Rap,Bounce
Hip-Hop/Rap,Chap Hop
Hip-Hop/Rap,Christian Hip Hop
Hip-Hop/Rap,Conscious Hip Hop
Hip-Hop/Rap,Country-Rap
Hip-Hop/Rap,Crunkcore
Hip-Hop/Rap,Cumbia Rap
Hip-Hop/Rap,Dirty South
Hip-Hop/Rap,Brick City Club
Hip-Hop/Rap,Hardcore Hip Hop
Hip-Hop/Rap,Mafioso Rap
Hip-Hop/Rap,New Jersey Hip Hop
Hip-Hop/Rap,Freestyle Rap
Hip-Hop/Rap,G-Funk
Hip-Hop/Rap,Gangsta Rap
Hip-Hop/Rap,Golden Age
Hip-Hop/Rap,Hardcore Rap
Hip-Hop/Rap,Hip-Hop
Hip-Hop/Rap,Hip Pop
Hip-Hop/Rap,Hyphy
Hip-Hop/Rap,Industrial Hip Hop
Hip-Hop/Rap,Instrumental Hip Hop
Hip-Hop/Rap,Jazz Rap
Hip-Hop/Rap,Latin Rap
Hip-Hop/Rap,Low Bap
Hip-Hop/Rap,Lyrical Hip Hop
Hip-Hop/Rap,Merenrap
Hip-Hop/Rap,Chicago Hip Hop
Hip-Hop/Rap,Detroit Hip Hop
Hip-Hop/Rap,Horrorcore
Hip-Hop/Rap,St. Louis Hip Hop
Hip-Hop/Rap,Twin Cities Hip Hop
Hip-Hop/Rap,Motswako
Hip-Hop/Rap,Nerdcore
Hip-Hop/Rap,New Jack Swing
Hip-Hop/Rap,New School Hip Hop
Hip-Hop/Rap,Old School Rap
Hip-Hop/Rap,Rap
Hip-Hop/Rap,Turntablism 
Hip-Hop/Rap,Underground Rap
Hip-Hop/Rap,West Coast Rap
Hip-Hop/Rap,East Coast
Hip-Hop/Rap,Brick City Club
Hip-Hop/Rap,Hardcore Hip Hop
Hip-Hop/Rap,Mafioso Rap
Hip-Hop/Rap,New Jersey Hip Hop
Hip-Hop/Rap,Midwest Hip Hop
Hip-Hop/Rap,Chicago Hip Hop
Hip-Hop/Rap,Detroit Hip Hop
Hip-Hop/Rap,Horrorcore
Hip-Hop/Rap,St. Louis Hip Hop
Hip-Hop/Rap,Twin Cities Hip Hop
Holiday,Chanukah
Holiday,Christmas
Holiday,Christmas: Classic
Holiday,Christmas: Classical
Holiday,Christmas: Comedy
Holiday,Christmas: Jazz
Holiday,Christmas: Modern
Holiday,Christmas: Pop
Holiday,Christmas: R&B
Holiday,Christmas: Religious
Holiday,Christmas: Rock
Holiday,Easter
Holiday,Halloween
Holiday,Holiday: Other
Holiday,Thanksgiving
Holiday,Christmas: Children’s
Industrial,Aggrotech
Industrial,Coldwave
Industrial,Cybergrind
Industrial,Dark Electro
Industrial,Death Industrial
Industrial,Electro-Industrial
Industrial,Futurepop
Industrial,Neue Deutsche Härte
Industrial,Industrial Rock
Industrial,Japanoise
Industrial,Power Electronics
Industrial,Power Noise
Industrial,Witch House
Industrial,Electronic Body Music
Industrial,Futurepop
Industrial,Industrial Metal
Industrial,Neue Deutsche Härte
Industrial,Noise
Industrial,Japanoise
Industrial,Power Electronics
Industrial,Power Noise
Inspirational – Christian & Gospel,CCM
Inspirational – Christian & Gospel,Christian Metal
Inspirational – Christian & Gospel,Christian Pop
Inspirational – Christian & Gospel,Christian Rap
Inspirational – Christian & Gospel,Christian Rock
Inspirational – Christian & Gospel,Classic Christian
Inspirational – Christian & Gospel,Contemporary Gospel
Inspirational – Christian & Gospel,Gospel
Inspirational – Christian & Gospel,Christian & Gospel
Inspirational – Christian & Gospel,Praise & Worship
Inspirational – Christian & Gospel,Qawwali 
Inspirational – Christian & Gospel,Southern Gospel
Inspirational – Christian & Gospel,Traditional Gospel
Instrumental,March 
J-Pop,J-Rock
J-Pop,J-Synth
J-Pop,J-Ska
J-Pop,J-Punk
Jazz,Acid Jazz 
Jazz,Avant-Garde Jazz
Jazz,Bebop 
Jazz,Big Band
Jazz,Blue Note 
Jazz,Contemporary Jazz
Jazz,Cool
Jazz,Crossover Jazz
Jazz,Dixieland
Jazz,Ethio-jazz 
Jazz,Fusion
Jazz,Gypsy Jazz 
Jazz,Hard Bop
Jazz,Latin Jazz
Jazz,Mainstream Jazz
Jazz,Ragtime
Jazz,Smooth Jazz
Jazz,Trad Jazz
Latin,Argentine tango 
Latin,Bachata
Latin,Baithak Gana
Latin,Baladas y Boleros
Latin,Bolero
Latin,Bossa Nova 
Latin,Axé
Latin,Bossa Nova
Latin,Brazilian Rock
Latin,Brega
Latin,Choro
Latin,Forró
Latin,Frevo
Latin,Funk Carioca
Latin,Lambada
Latin,Maracatu
Latin,Música Sertaneja
Latin,Pagode
Latin,Samba
Latin,Samba Rock
Latin,Tecnobrega
Latin,Tropicalia
Latin,Zouk-Lambada
Latin,Chicha
Latin,Criolla
Latin,Contemporary Latin
Latin,Cumbia 
Latin,Huayno
Latin,Latin Jazz
Latin,Mariachi
Latin,Nuevo Flamenco 
Latin,Pop Latino
Latin,Portuguese fado 
Latin,Punta
Latin,Punta Rock
Latin,Ranchera
Latin,Raíces
Latin,Raison
Latin,Reggaeton y Hip-Hop
Latin,Regional Mexicano
Latin,Salsa y Tropical
Latin,Soca
Latin,Son
Latin,Tejano
Latin,Timba
Latin,Twoubadou
Latin,Zouk
Latin,Alternativo & Rock Latino
Latin,Brazilian
Latin,Axé
Latin,Bossa Nova
Latin,Brazilian Rock
Latin,Brega
Latin,Choro
Latin,Forró
Latin,Frevo
Latin,Funk Carioca
Latin,Lambada
Latin,Maracatu
Latin,Música Popular Brasileira
Latin,Música Sertaneja
Latin,Pagode
Latin,Samba
Latin,Samba Rock
Latin,Tecnobrega
Latin,Tropicalia
Latin,Zouk-Lambada
Latin,Música Popular Brasileira
Latin,Flamenco / Spanish Flamenco 
New Age,Environmental
New Age,Healing
New Age,Meditation
New Age,Nature
New Age,Relaxation
New Age,Travel
Pop,Adult Contemporary
Pop,Arab Pop
Pop,Baroque
Pop,Britpop
Pop,Bubblegum Pop 
Pop,Chamber Pop 
Pop,Chanson
Pop,Christian Pop
Pop,Classical Crossover
Pop,Austropop
Pop,Balkan Pop
Pop,French Pop
Pop,Latin Pop
Pop,Laïkó
Pop,Nederpop
Pop,Russian Pop
Pop,Dance Pop
Pop,Dream Pop 
Pop,Electro Pop 
Pop,Iranian Pop
Pop,Jangle Pop
Pop,Latin Ballad
Pop,Levenslied
Pop,Louisiana Swamp Pop
Pop,Mexican Pop
Pop,Motorpop
Pop,New Romanticism
Pop,Orchestral Pop 
Pop,Pop Rap
Pop,Popera
Pop,Pop/Rock
Pop,Pop Punk 
Pop,Power Pop 
Pop,Psychedelic Pop
Pop,Schlager
Pop,Soft Rock
Pop,Sophisti-Pop
Pop,Space Age Pop
Pop,Sunshine Pop
Pop,Surf Pop
Pop,Synthpop 
Pop,Teen Pop
Pop,Turkish Pop
Pop,Vispop
Pop,Wonky Pop
Pop,Europop
Pop,Austropop
Pop,Balkan Pop
Pop,French Pop
Pop,Latin Pop
Pop,Laïkó
Pop,Nederpop
Pop,Russian Pop
Pop,Traditional Pop Music
R&B/Soul,Contemporary R&B
R&B/Soul,Disco 
R&B/Soul,Doo Wop
R&B/Soul,Funk
R&B/Soul,Modern Soul 
R&B/Soul,Motown
R&B/Soul,Neo-Soul
R&B/Soul,Northern Soul 
R&B/Soul,Psychedelic Soul 
R&B/Soul,Quiet Storm
R&B/Soul,Soul
R&B/Soul,Soul Blues 
R&B/Soul,Southern Soul 
Reggae,2-Tone 
Reggae,Dancehall
Reggae,Dub
Reggae,Roots Reggae
Reggae,Reggae Fusion
Reggae,Spanish Reggae
Reggae,Reggae 110
Reggae,Reggae Bultrón
Reggae,Romantic Flow
Reggae,Lovers Rock
Reggae,Ragga
Reggae,Dancehall
Reggae,2 Tone
Reggae,Dub
Reggae,Rocksteady
Reggae,Reggae en Español
Reggae,Spanish Reggae
Reggae,Reggae 110
Reggae,Reggae Bultrón
Reggae,Romantic Flow
Reggae,Raggamuffin
Reggae,Ragga
Reggae,Dancehall
Reggae,Ska
Reggae,2 Tone
Reggae,Dub
Reggae,Rocksteady
Rock,Acid Rock 
Rock,Adult-Oriented Rock 
Rock,Afro Punk
Rock,Adult Alternative
Rock,Alternative Rock 
Rock,Anatolian Rock
Rock,Arena Rock
Rock,Art Rock
Rock,Blues-Rock
Rock,British Invasion
Rock,Cock Rock
Rock,Doom Metal 
Rock,Glam Rock
Rock,Gothic Metal 
Rock,Grind Core
Rock,Hair Metal
Rock,Hard Rock
Rock,Math Metal 
Rock,Math Rock 
Rock,Metal
Rock,Metal Core 
Rock,Noise Rock 
Rock,Jam Bands
Rock,Post Punk 
Rock,Prog-Rock/Art Rock
Rock,Progressive Metal 
Rock,Psychedelic
Rock,Rock & Roll
Rock,Rockabilly 
Rock,Roots Rock
Rock,Singer/Songwriter
Rock,Southern Rock
Rock,Spazzcore 
Rock,Stoner Metal 
Rock,Surf
Rock,Tex-Mex
Rock,Thrash Metal 
Rock,Time Lord Rock  ~ 
Rock,Trip-hop 
Rock,American Traditional Rock
Rock,Death Metal / Black Metal
Rock,Technical Death Metal 
Rockabilly,Acid Rock 
Rockabilly,Adult-Oriented Rock 
Rockabilly,Afro Punk
Rockabilly,Adult Alternative
Rockabilly,Alternative Rock 
Rockabilly,Anatolian Rock
Rockabilly,Arena Rock
Rockabilly,Art Rock
Rockabilly,Blues-Rock
Rockabilly,British Invasion
Rockabilly,Cock Rock
Rockabilly,Doom Metal 
Rockabilly,Glam Rock
Rockabilly,Gothic Metal 
Rockabilly,Grind Core
Rockabilly,Hair Metal
Rockabilly,Hard Rock
Rockabilly,Math Metal 
Rockabilly,Math Rock 
Rockabilly,Metal
Rockabilly,Metal Core 
Rockabilly,Noise Rock 
Rockabilly,Jam Bands
Rockabilly,Post Punk 
Rockabilly,Prog-Rock/Art Rock
Rockabilly,Progressive Metal 
Rockabilly,Psychedelic
Rockabilly,Rock & Roll
Rockabilly,Rockabilly 
Rockabilly,Roots Rock
Rockabilly,Singer/Songwriter
Rockabilly,Southern Rock
Rockabilly,Spazzcore 
Rockabilly,Stoner Metal 
Rockabilly,Surf
Rockabilly,Tex-Mex
Rockabilly,Thrash Metal 
Rockabilly,Time Lord Rock  ~ 
Rockabilly,Trip-hop 
Rockabilly,American Traditional Rock
Rockabilly,Death Metal / Black Metal
Rockabilly,Technical Death Metal 
Singer/Songwriter,Alternative Folk
Singer/Songwriter,Contemporary Folk
Singer/Songwriter,Indie Folk 
Singer/Songwriter,Folk-Rock
Singer/Songwriter,Love Song 
Singer/Songwriter,New Acoustic
Singer/Songwriter,Traditional Folk
Singer/Songwriter,Contemporary Singer/Songwriter
Soundtrack,Foreign Cinema
Soundtrack,Movie Soundtrack 
Soundtrack,Musicals
Soundtrack,Original Score
Soundtrack,Soundtrack
Soundtrack,TV Soundtrack
Tex-Mex / Tejano,Chicano
Tex-Mex / Tejano,Classic
Tex-Mex / Tejano,Conjunto
Tex-Mex / Tejano,Conjunto Progressive
Tex-Mex / Tejano,New Mex
Tex-Mex / Tejano,Tex-Mex
Vocal,A cappella 
Vocal,Barbershop 
Vocal,Cantique 
Vocal,Doo-wop 
Vocal,Gregorian Chant 
Vocal,Standards
Vocal,Traditional Pop
Vocal,Vocal Jazz
Vocal,Vocal Pop
World,African Heavy Metal
World,African Hip Hop
World,Afro-Beat
World,Afro-Pop
World,Apala
World,Benga
World,Bikutsi
World,Bongo Flava
World,Cape Jazz
World,Chimurenga
World,Coupé-Décalé
World,Fuji Music
World,Genge
World,Highlife
World,Hiplife
World,Isicathamiya
World,Jit
World,Jùjú
World,Kapuka
World,Kizomba
World,Kuduro
World,Kwaito
World,Kwela
World,Makossa
World,Maloya
World,Marrabenta
World,Mbalax
World,Mbaqanga
World,Mbube
World,Morna
World,Museve
World,Palm-Wine
World,Raï
World,Sakara
World,Sega
World,Seggae
World,Semba
World,Soukous
World,Taarab
World,Zouglou
World,Anison
World,C-Pop
World,Cantopop
World,Enka
World,Fann At-Tanbura
World,Fijiri
World,J-Pop
World,Japanese Pop
World,K-Pop
World,Khaliji
World,Kayōkyoku
World,Korean Pop
World,Liwa
World,Mandopop
World,Onkyokei
World,Taiwanese Pop
World,Sawt
World,Australia
World,Cajun
World,Calypso 
World,Chutney
World,Chutney Soca
World,Compas
World,Mambo
World,Merengue
World,Méringue
World,Carnatic 
World,Celtic
World,Celtic Folk
World,Contemporary Celtic
World,Dangdut 
World,Drinking Songs
World,Drone 
World,Europe
World,France
World,Hawaii
World,Japan
World,Klezmer
World,Mbalax  – Senegal
World,Middle East
World,North America
World,Ode 
World,Piphat  – Thailand
World,Polka
World,Soca 
World,South Africa
World,South America
World,Baila
World,Bhangra
World,Bhojpuri
World,Dangdut
World,Filmi
World,Indian Pop
World,Hindustani 
World,Indian Ghazal 
World,Lavani
World,Luk Thung
World,Luk Krung
World,Manila Sound
World,Morlam
World,Pinoy Pop
World,Pop Sunda
World,Ragini
World,Thai Pop
World,Traditional Celtic
World,Worldbeat
World,Zydeco
World,Africa
World,African Heavy Metal
World,African Hip Hop
World,Afro-Beat
World,Afro-Pop
World,Apala
World,Benga
World,Bikutsi
World,Bongo Flava
World,Cape Jazz
World,Chimurenga
World,Coupé-Décalé
World,Fuji Music
World,Genge
World,Highlife
World,Hiplife
World,Isicathamiya
World,Jit
World,Jùjú
World,Kapuka
World,Kizomba
World,Kuduro
World,Kwaito
World,Kwela
World,Makossa
World,Maloya
World,Marrabenta
World,Mbalax
World,Mbaqanga
World,Mbube
World,Morna
World,Museve
World,Palm-Wine
World,Raï
World,Sakara
World,Sega
World,Seggae
World,Semba
World,Soukous
World,Taarab
World,Zouglou
World,Asia
World,Anison
World,C-Pop
World,Cantopop
World,Enka
World,Hong Kong English Pop
World,Fann At-Tanbura
World,Fijiri
World,J-Pop
World,Japanese Pop
World,K-Pop
World,Khaliji
World,Kayōkyoku
World,Korean Pop
World,Liwa
World,Mandopop
World,Onkyokei
World,Taiwanese Pop
World,Sawt
World,Hong Kong English Pop
World,Caribbean
World,Chutney
World,Chutney Soca
World,Compas
World,Mambo
World,Merengue
World,Méringue
World,Coupé-décalé  – Congo
World,South / Southeast Asia
World,Baila
World,Bhangra
World,Bhojpuri
World,Dangdut
World,Filmi
World,Indian Pop
World,Hindustani 
World,Indian Ghazal 
World,Lavani
World,Luk Thung
World,Luk Krung
World,Manila Sound
World,Morlam
World,Pinoy Pop
World,Pop Sunda
World,Ragini
World,Thai Pop
