subgenre,overgenre
Afrobeat,African
African hip hop,African
African heavy metal,African
Apala,African
Benga,African
Boomba,African
Bongo Flava,African
Bikutsi,African
Cape Jazz,African
Chimurenga,African
Congolese rumba,African
Coupé-Décalé,African
Fuji,African
Genge,African
Highlife,African
Hiplife,African
Igbo highlife,African
Igbo rap,African
Isicathamiya,African
Jit,African
Jùjú,African
Gqom,African
Kadongo Kamu,African
Kizomba,African
Kuduro,African
Kwaito,African
Kwela,African
Makossa,African
Maloya,African
Marabi,African
Marrabenta,African
Mbalax,African
Mbaqanga,African
Mbube,African
Morna,African
Ndombolo,African
Palm-wine,African
Raï,African
Sega,African
Shangaan electro,African
Soukous,African
Kwassa kwassa,African
Taarab,African
Zouglou,African
Fijiri,Asian
Khaliji,Asian
Liwa,Asian
Sawt,Asian
C-pop,East Asian
Cantopop,East Asian
Mandopop,East Asian
Taiwanese pop,East Asian
Chinese rock,East Asian
Enka,East Asian
Hong Kong English pop,East Asian
J-pop,East Asian
Japanese jazz,East Asian
Japanese rock,East Asian
Kayōkyoku,East Asian
K-pop,East Asian
Korean hip hop,East Asian
Trot,East Asian
Asian Underground,South Asian
Baila,South Asian
Baul,South Asian
Bhangra,South Asian
Bhawaiya,South Asian
Goa trance,South Asian
Indian Classical,South Asian
Hindustani Classical,South Asian
Carnatic,South Asian
Indian jazz,South Asian
Indian pop,South Asian
Indian rock,South Asian
Raga rock,South Asian
Lavani,South Asian
Morlam,South Asian
Ragini,South Asian
Sufi rock,South Asian
Dangdut,Southeast Asian
Indo pop,Southeast Asian
Luk thung,Southeast Asian
Luk Krung,Southeast Asian
Manila Sound,Southeast Asian
Original Pilipino,Southeast Asian
Mor lam,Southeast Asian
Pinoy pop,Southeast Asian
Pop sunda,Southeast Asian
Thai string pop,Southeast Asian
Thai pop,Southeast Asian
V-pop,Southeast Asian
Experimental,Avant-garde
Noise,Avant-garde
Harsh Noise,Avant-garde
Harsh noise wall,Avant-garde
Outsider music,Avant-garde
Lo-fi,Avant-garde
Musique concrète,Avant-garde
Electroacoustic,Avant-garde
African blues,Blues
Blues rock,Blues
Canadian blues,Blues
Chicago blues,Blues
Classic female blues,Blues
Contemporary R&B,Blues
Country blues,Blues
Delta blues,Blues
Detroit blues,Blues
Electric blues,Blues
Gospel blues,Blues
Hill country blues,Blues
Jump blues,Blues
Kansas City blues,Blues
Louisiana blues,Blues
Memphis blues,Blues
Piedmont blues,Blues
Punk blues,Blues
Rhythm and blues,Blues
Soul blues,Blues
St. Louis blues,Blues
Swamp blues,Blues
Texas blues,Blues
West Coast blues,Blues
Baithak Gana,Caribbean and Caribbean-influenced
Dancehall,Caribbean and Caribbean-influenced
Bouyon,Caribbean and Caribbean-influenced
Cadence-lypso,Caribbean and Caribbean-influenced
Calypso,Caribbean and Caribbean-influenced
Cha-cha-chá,Caribbean and Caribbean-influenced
Chutney,Caribbean and Caribbean-influenced
Chutney soca,Caribbean and Caribbean-influenced
Chutney parang,Caribbean and Caribbean-influenced
Compas,Caribbean and Caribbean-influenced
Mambo,Caribbean and Caribbean-influenced
Merengue,Caribbean and Caribbean-influenced
Méringue,Caribbean and Caribbean-influenced
Mozambique,Caribbean and Caribbean-influenced
Pichakaree,Caribbean and Caribbean-influenced
Punta,Caribbean and Caribbean-influenced
Punta Rock,Caribbean and Caribbean-influenced
Rasin,Caribbean and Caribbean-influenced
Reggae,Caribbean and Caribbean-influenced
Dub,Caribbean and Caribbean-influenced
Lovers rock,Caribbean and Caribbean-influenced
Ragga,Caribbean and Caribbean-influenced
Ragga jungle,Caribbean and Caribbean-influenced
Reggae fusion,Caribbean and Caribbean-influenced
Reggaeton,Caribbean and Caribbean-influenced
Rocksteady,Caribbean and Caribbean-influenced
Rumba,Caribbean and Caribbean-influenced
Ska,Caribbean and Caribbean-influenced
Two-tone,Caribbean and Caribbean-influenced
Ska punk,Caribbean and Caribbean-influenced
Salsa,Caribbean and Caribbean-influenced
Son cubano,Caribbean and Caribbean-influenced
Songo,Caribbean and Caribbean-influenced
Soca,Caribbean and Caribbean-influenced
Power Soca,Caribbean and Caribbean-influenced
Timba,Caribbean and Caribbean-influenced
Twoubadou,Caribbean and Caribbean-influenced
Zouk,Caribbean and Caribbean-influenced
Comedy,Comedy
Comedy rock,Comedy
Novelty,Comedy
Parody,Comedy
Alternative country,Country
Cowpunk,Country
Americana,Country
Australian country,Country
Bakersfield sound,Country
Bluegrass,Country
Progressive bluegrass,Country
Cajun,Country
Cajun fiddle,Country
Christian country,Country
Classic country,Country
Close harmony,Country
Country blues,Country
Country pop,Country
Country rap,Country
Country rock,Country
Cowboy,Country
Cowboy pop,Country
Dansband,Country
Hokum,Country
Honky tonk,Country
Música sertaneja,Country
Nashville sound,Country
Neotraditional country,Country
Outlaw country,Country
Progressive country,Country
Red Dirt,Country
Rockabilly,Country
Hellbilly,Country
Psychobilly,Country
Texas country,Country
Traditional country,Country
Truck-driving country,Country
Western swing,Country
Zydeco,Country
Background music,Easy listening
Beautiful music,Easy listening
Elevator music,Easy listening
Furniture music,Easy listening
Lounge music,Easy listening
Middle of the road music,Easy listening
New-age music,Easy listening
Ambient,Electronic
Ambient dub,Electronic
Dark ambient,Electronic
Dungeon synth,Electronic
Drone,Electronic
Space,Electronic
Illbient,Electronic
Psybient,Electronic
Breakbeat,Electronic
Acid breaks,Electronic
Baltimore club,Electronic
Jersey club,Electronic
Big beat,Electronic
Broken beat,Electronic
Florida breaks,Electronic
Nu-funk,Electronic
Miami bass,Electronic
Nu skool breaks,Electronic
Disco,Electronic
Afro/Cosmic,Electronic
Disco polo,Electronic
Euro disco,Electronic
Italo disco,Electronic
Nu-disco,Electronic
Space disco,Electronic
Downtempo,Electronic
Acid jazz,Electronic
Chill-out,Electronic
New-age,Electronic
Space,Electronic
Trip hop,Electronic
Drum and bass,Electronic
Liquid funk,Electronic
Neurofunk,Electronic
Neurohop,Electronic
Jump-up,Electronic
Darkstep,Electronic
Drumstep,Electronic
Funkstep,Electronic
Hardstep,Electronic
Sambass,Electronic
Techstep,Electronic
Dub,Electronic
Ambient dub,Electronic
Dancehall,Electronic
Dub poetry,Electronic
Dub reggae,Electronic
Dub techno,Electronic
Dubstep,Electronic
Dubtronica,Electronic
Electro,Electronic
Freestyle,Electronic
Electro-industrial,Electronic
Electroacoustic,Electronic
Acousmatic,Electronic
Musique concrète,Electronic
Modular,Electronic
Electronic dance music,Electronic
Electronic rock,Electronic
Alternative dance,Electronic
Indietronica,Electronic
Coldwave,Electronic
Dance-punk,Electronic
Dark wave,Electronic
Electroclash,Electronic
Electronicore,Electronic
Nintendocore,Electronic
Electropunk,Electronic
Ethereal wave,Electronic
Krautrock,Electronic
Minimal wave,Electronic
New rave,Electronic
Nu-gaze,Electronic
Space rock,Electronic
Synthpop,Electronic
Electronica,Electronic
Dubtronica,Electronic
Folktronica,Electronic
Funktronica,Electronic
Laptronica,Electronic
Livetronica,Electronic
Ethnic electronica,Electronic
Al Jeel,Electronic
Arabic pop,Electronic
Asian underground,Electronic
Bhangra,Electronic
Bhangragga,Electronic
C-pop,Electronic
Cantopop,Electronic
J-pop,Electronic
City pop,Electronic
Shibuya-kei,Electronic
K-pop,Electronic
Worldbeat,Electronic
Hardcore,Electronic
Gabber,Electronic
4-beat,Electronic
Breakbeat hardcore,Electronic
Bouncy techno,Electronic
Breakcore,Electronic
Hardbass,Electronic
Digital hardcore,Electronic
Darkcore,Electronic
Happy hardcore,Electronic
Mákina,Electronic
Speedcore,Electronic
Splittercore,Electronic
Extratone,Electronic
UK hardcore,Electronic
Hardstyle,Electronic
Dubstyle,Electronic
Jumpstyle,Electronic
Lento violento,Electronic
Hi-NRG,Electronic
Eurobeat,Electronic
Eurodance,Electronic
Bubblegum dance,Electronic
Hard dance,Electronic
Italo dance,Electronic
Hip hop,Electronic
Breakbeat,Electronic
Crunk,Electronic
Electro,Electronic
Hip house,Electronic
Trap,Electronic
Trap EDM,Electronic
Drill,Electronic
UK drill,Electronic
below,Electronic
Industrial,Electronic
Aggrotech,Electronic
Electrogrind,Electronic
Electro-industrial,Electronic
Dark ambient,Electronic
Dark electro,Electronic
Electronic body,Electronic
Futurepop,Electronic
New beat,Electronic
Industrial metal,Electronic
Industrial rock,Electronic
Japanoise,Electronic
Neue Deutsche Härte,Electronic
Power electronics,Electronic
Death industrial,Electronic
Power noise,Electronic
Intelligent dance,Electronic
Glitch,Electronic
Glitch Hop,Electronic
Wonky,Electronic
Oldschool jungle,Electronic
Darkcore,Electronic
Ragga jungle,Electronic
Raggacore,Electronic
Post-disco,Electronic
Boogie,Electronic
Electropop,Electronic
Chillwave,Electronic
Vaporwave,Electronic
Hardvapour,Electronic
Dance-pop,Electronic
Dance-rock,Electronic
Techno,Electronic
Acid techno,Electronic
Detroit techno,Electronic
Dub techno,Electronic
Hardtechno,Electronic
Industrial techno,Electronic
Minimal techno,Electronic
New beat,Electronic
Nortec,Electronic
Tecno brega,Electronic
Trance,Electronic
Acid trance,Electronic
Balearic trance,Electronic
Dream trance,Electronic
Euro-trance,Electronic
Hard trance,Electronic
Nitzhonot,Electronic
Psychedelic trance,Electronic
Full on,Electronic
Suomisaundi,Electronic
Goa trance,Electronic
Progressive trance,Electronic
Tech trance,Electronic
Uplifting trance,Electronic
Vocal trance,Electronic
UK garage,Electronic
2-step garage,Electronic
Dubstep,Electronic
Brostep,Electronic
Drumstep,Electronic
Reggaestep,Electronic
Breakstep,Electronic
Future garage,Electronic
Grime,Electronic
UK drill,Electronic
Grindie,Electronic
Speed garage,Electronic
Bassline,Electronic
UK funky,Electronic
Nightcore,Electronic
Acid house,House
Ambient house,House
Balearic beat,House
Chicago house,House
Deep house,House
Diva house,House
Hardbag,House
Electro house,House
Big room house,House
Complextro,House
Dutch house,House
Fidget house,House
French house,House
Nu-disco,House
Funky house,House
Future house,House
Garage house,House
Ghetto house,House
Ghettotech,House
Juke house,House
Footwork,House
Hard house,House
Hard dance,House
Hip house,House
Italo house,House
Nu jazz,House
Kidandali,House
Kwaito,House
Latin house,House
Microhouse,House
Moombahton,House
Moombahcore,House
Progressive house,House
Rara tech,House
Tech house,House
Tribal house,House
Tropical house,House
Witch house,House
Toná,Flamenco
Martinetes,Flamenco
Tonás,Flamenco
Bulerías,Flamenco
Alegrías,Flamenco
Peteneras,Flamenco
Fandangos,Flamenco
Tango,Flamenco
Cantes de ida y vuelta,Flamenco
Anti-folk,Folk
Turbo-folk,Folk
Celtic,Folk
Chalga,Folk
Filk,Folk
Folk rock,Folk
Folktronica,Folk
Freak folk,Folk
Indie folk,Folk
Industrial folk,Folk
Neofolk,Folk
Progressive folk,Folk
Protest song,Folk
Psychedelic folk,Folk
Singer-songwriter,Folk
Skiffle,Folk
Sung poetry,Folk
Traditional Folk,Folk
Western music,Folk
Alternative hip hop,Hip hop
Australian hip hop,Hip hop
Bongo Flava,Hip hop
Boom bap,Hip hop
British hip hop,Hip hop
Chap hop,Hip hop
Chopper,Hip hop
Christian hip hop,Hip hop
Cloud rap,Hip hop
Conscious hip hop,Hip hop
Crunk,Hip hop
Crunkcore,Hip hop
Drill,Hip hop
Electro,Hip hop
Emo hip hop,Hip hop
Experimental hip hop,Hip hop
G-funk,Hip hop
Ghetto house,Hip hop
Ghettotech,Hip hop
Golden age hip hop,Hip hop
Grime,Hip hop
Hardcore hip hop,Hip hop
Hip house,Hip hop
Hiplife,Hip hop
Hip pop,Hip hop
Hyphy,Hip hop
Industrial hip hop,Hip hop
Instrumental hip hop,Hip hop
Jazz rap,Hip hop
Jersey club,Hip hop
Kwaito,Hip hop
Lyrical hip hop,Hip hop
Low Bap,Hip hop
Merenrap,Hip hop
Motswako,Hip hop
Mumble rap,Hip hop
Nerdcore,Hip hop
New jack swing,Hip hop
New school hip hop,Hip hop
Old school hip hop,Hip hop
Political hip hop,Hip hop
Ragga,Hip hop
Reggaeton,Hip hop
Snap,Hip hop
Jerkin',Hip hop
Trap,Hip hop
Urban Pasifika,Hip hop
Emo rap,Hip hop
K-rap,Hip hop
J-rap,Hip hop
Horrorcore,Hip hop
Acid jazz,Jazz
Afro-Cuban jazz,Jazz
Avant-garde jazz,Jazz
Bebop,Jazz
Boogie-woogie,Jazz
Bossa nova,Jazz
British dance band,Jazz
Cape jazz,Jazz
Chamber jazz,Jazz
Continental jazz,Jazz
Cool jazz,Jazz
Crossover jazz,Jazz
Dixieland,Jazz
Ethno jazz,Jazz
European free jazz,Jazz
Free funk,Jazz
Free improvisation,Jazz
Free jazz,Jazz
Gypsy jazz,Jazz
Hard bop,Jazz
Jazz blues,Jazz
Jazz-funk,Jazz
Jazz fusion,Jazz
Jazz rap,Jazz
Jazz rock,Jazz
Kansas City blues,Jazz
Kansas City jazz,Jazz
Latin jazz,Jazz
Livetronica,Jazz
M-Base,Jazz
Mainstream jazz,Jazz
Modal jazz,Jazz
Neo-bop jazz,Jazz
Neo-swing,Jazz
Novelty ragtime,Jazz
Nu jazz,Jazz
Orchestral jazz,Jazz
Post-bop,Jazz
Progressive jazz,Jazz
Psychedelic jazz,Jazz
Punk jazz,Jazz
Ragtime,Jazz
Shibuya-kei,Jazz
Ska jazz,Jazz
Smooth jazz,Jazz
Soul jazz,Jazz
Stride jazz,Jazz
Straight-ahead jazz,Jazz
Swing,Jazz
Third stream,Jazz
Trad jazz,Jazz
Vocal jazz,Jazz
West Coast jazz,Jazz
Axé,Latin
Brazilian rock,Latin
Brega,Latin
Tecnobrega,Latin
Choro,Latin
Forró,Latin
Frevo,Latin
Funk Carioca,Latin
Lambada,Latin
Maracatu,Latin
Música popular brasileira,Latin
Tropicalia,Latin
Música sertaneja,Latin
Samba,Latin
Pagode,Latin
Samba rock,Latin
Latin Christian,Latin
Latin jazz,Latin
Afro-Cuban jazz,Latin
Bossa Nova,Latin
Latin pop,Latin
Latin ballad,Latin
Latin rock,Latin
Latin alternative,Latin
Rock en Español,Latin
Reggaeton,Latin
Latin trap,Latin
Regional Mexican,Latin
Banda,Latin
Grupera,Latin
Mariachi,Latin
Ranchera,Latin
Norteño,Latin
Tejano,Latin
Turbo-folk,Latin
Bullerengue,Latin
Fado,Latin
Huayno,Latin
Mexican son,Latin
Música criolla,Latin
Nueva canción,Latin
Tropical,Latin
Bachata,Latin
Bolero,Latin
Criolla,Latin
Cumbia,Latin
Chicha,Latin
Porro,Latin
Guajira,Latin
Mambo,Latin
Merengue,Latin
Cuban rumba,Latin
Salsa,Latin
Salsa romántica,Latin
Son,Latin
Timba,Latin
Tropipop,Latin
Vallenato,Latin
Adult contemporary,Pop
Arabic pop,Pop
Baroque pop,Pop
Brill Building,Pop
Britpop,Pop
Bubblegum pop,Pop
Canción,Pop
Canzone,Pop
Chalga,Pop
Chanson,Pop
Christian pop,Pop
Classical crossover,Pop
Country pop,Pop
C-pop,Pop
Hokkien pop,Pop
Mandopop,Pop
Dance-pop,Pop
Disco polo,Pop
Electropop,Pop
Europop,Pop
Austropop,Pop
Eurobeat,Pop
French pop,Pop
Italo dance,Pop
Italo disco,Pop
Laïkó,Pop
Latin pop,Pop
Nederpop,Pop
Russian pop,Pop
Fado,Pop
Folk pop,Pop
Iranian pop,Pop
Indie pop,Pop
J-pop,Pop
Jangle pop,Pop
K-pop,Pop
Korean rock,Pop
T'ong guitar,Pop
Trot,Pop
Swamp pop,Pop
Mexican pop,Pop
New Romantic,Pop
Operatic pop,Pop
Power pop,Pop
Soft rock,Pop
Pop punk,Pop
Neon pop,Pop
Emo pop,Pop
Pop soul,Pop
Progressive pop,Pop
Psychedelic pop,Pop
Rebetiko,Pop
Schlager,Pop
Sophisti-pop,Pop
Space age pop,Pop
Sunshine pop,Pop
Surf,Pop
Synthpop,Pop
Teen pop,Pop
Traditional pop,Pop
Turkish pop,Pop
Vispop,Pop
Wonky pop,Pop
Worldbeat,Pop
Contemporary R&B,R&B and soul
Disco,R&B and soul
Funk,R&B and soul
Deep funk,R&B and soul
Freestyle,R&B and soul
Go-go,R&B and soul
P-Funk,R&B and soul
Post-disco,R&B and soul
Boogie,R&B and soul
Alternative R&B,R&B and soul
New jack swing,R&B and soul
Rhythm and blues,R&B and soul
Soul,R&B and soul
Blue-eyed soul,R&B and soul
Northern soul,R&B and soul
Neo soul,R&B and soul
Psychedelic Soul,R&B and soul
Southern soul,R&B and soul
Alternative rock,Rock
Britpop,Rock
Post-Britpop,Rock
Shoegaze,Rock
Dream Pop,Rock
Grunge,Rock
Post-grunge,Rock
Indie rock,Rock
Dunedin Sound,Rock
Math rock,Rock
Post-punk revival,Rock
Sadcore,Rock
Slowcore,Rock
Beat,Rock
Christian rock,Rock
Dark cabaret,Rock
Electronic rock,Rock
Electronicore,Rock
Experimental rock,Rock
Art rock,Rock
Industrial rock,Rock
Post-punk,Rock
Gothic rock,Rock
No wave,Rock
Noise rock,Rock
Post-rock,Rock
Post-metal,Rock
Folk rock,Rock
Garage rock,Rock
Glam rock,Rock
Hard rock,Rock
below,Rock
Jazz rock,Rock
New wave,Rock
World fusion,Rock
Paisley Underground,Rock
Desert rock,Rock
Pop rock,Rock
Soft rock,Rock
Progressive rock,Rock
Canterbury scene,Rock
Krautrock,Rock
New prog,Rock
Rock in Opposition,Rock
Space rock,Rock
Psychedelic rock,Rock
Acid rock,Rock
Freakbeat,Rock
Neo-psychedelia,Rock
Raga rock,Rock
below,Rock
Rap rock,Rock
Rapcore,Rock
Rock and roll,Rock
Southern rock,Rock
Stoner rock,Rock
Sufi rock,Rock
Surf rock,Rock
Visual kei,Rock
Nagoya kei,Rock
Worldbeat,Rock
Wrock,Rock
Alternative metal,Heavy metal
Avant-garde metal,Heavy metal
Black metal,Heavy metal
Symphonic black metal,Heavy metal
Viking metal,Heavy metal
War metal,Heavy metal
National Socialist black metal,Heavy metal
Christian metal,Heavy metal
Unblack metal,Heavy metal
Death metal,Heavy metal
Death 'n' roll,Heavy metal
Melodic death metal,Heavy metal
Technical death metal,Heavy metal
Deathgrind,Heavy metal
Doom metal,Heavy metal
Doom metal § Black-doom,Heavy metal
Doom metal § Blackened death-doom,Heavy metal
Death-doom,Heavy metal
Doom metal § Funeral doom,Heavy metal
Drone metal,Heavy metal
Doom metal § Epic doom,Heavy metal
Doom metal § Gothic-doom,Heavy metal
Doom metal § Progressive doom,Heavy metal
Sludge metal,Heavy metal
Stoner rock,Heavy metal
Doom metal § Traditional doom,Heavy metal
Folk metal,Heavy metal
Celtic metal,Heavy metal
Medieval metal,Heavy metal
Pagan metal,Heavy metal
Funk metal,Heavy metal
Glam metal,Heavy metal
Gothic metal,Heavy metal
Pirate metal,Heavy metal
Grindcore,Heavy metal
Nintendocore,Heavy metal
Industrial metal,Heavy metal
Kawaii metal,Heavy metal
Latin metal,Heavy metal
Metalcore,Heavy metal
Melodic metalcore,Heavy metal
Deathcore,Heavy metal
Mathcore,Heavy metal
Metalstep,Heavy metal
Neoclassical metal,Heavy metal
Neue Deutsche Härte,Heavy metal
Nu metal,Heavy metal
Post-metal,Heavy metal
Power metal,Heavy metal
Progressive metal,Heavy metal
Djent,Heavy metal
Rap metal,Heavy metal
Sludge metal,Heavy metal
Speed metal,Heavy metal
Symphonic metal,Heavy metal
Thrash metal,Heavy metal
Crossover thrash,Heavy metal
Groove metal,Heavy metal
Anarcho punk,Punk rock
Crust punk,Punk rock
D-beat,Punk rock
Art punk,Punk rock
Christian punk,Punk rock
Deathrock,Punk rock
Digital hardcore,Punk rock
Folk punk,Punk rock
Celtic punk,Punk rock
Cowpunk,Punk rock
Gypsy punk,Punk rock
Garage punk,Punk rock
Grindcore,Punk rock
Crustgrind,Punk rock
Noisegrind,Punk rock
Goregrind,Punk rock
Pornogrind,Punk rock
Hardcore punk,Punk rock
Melodic hardcore,Punk rock
Post-hardcore,Punk rock
Emo,Punk rock
Emo pop,Punk rock
Screamo,Punk rock
Thrashcore,Punk rock
Crossover thrash,Punk rock
Powerviolence,Punk rock
Horror punk,Punk rock
Nazi punk,Punk rock
Oi!,Punk rock
Pop punk,Punk rock
Neon pop,Punk rock
Psychobilly,Punk rock
Riot grrrl,Punk rock
Rock Against Communism,Punk rock
Ska punk,Punk rock
Skate punk,Punk rock
Street punk,Punk rock
